index,table_id,question,response,answer
0,totto_source/dev_json/example-1255.json,What did Serena Williams play in 2002?,"Here is the decomposition and answer:

**Subquestions:**

1. Identify the row that contains information about Serena Williams' role in 2002.
2. Extract the role from the relevant row.

**Answers:**

1. The relevant row is: 2002 | My Wife and Kids | Miss Wiggins | Episode: ""Crouching Mother, Hidden Father""
2. Miss Wiggins

**Final Answer:** In 2002, Serena Williams played Miss Wiggins.","In 2002, Serena Williams played as Miss Wiggins in the episode ""Crouching Mother, Hidden Father"" of My Wife and Kids."
1,totto_source/train_json/example-13878.json,When did Gordon Hodgson join Liverpool and how many total career goals did he score with the club?,"Here is the decomposition of the question into subquestions:

**Subquestions:**

**sq1**: When did Gordon Hodgson join Liverpool?
**sq2**: How many total career goals did he score with the club?

**Answers:**

**Answer to sq1**: Gordon Hodgson joined Liverpool in the 1925-26 season.

**Answer to sq2**: According to the table, Gordon Hodgson scored 233 goals with Liverpool.

**Final Answer**: Gordon Hodgson joined Liverpool in the 1925-26 season and scored 233 total career goals with the club.","Hodgson joined Liverpool in 1925, scoring 241 goals for the club."
2,totto_source/dev_json/example-2.json,Who is the best performing player in 1906 Boston Americans season? Who had the worst performance?,"Here's the decomposition of the question into subquestions:

**Decomposition:**

sq1. What is the best performance metric in the table to determine the best performing player? (independent)
sq2. Which player has the best performance according to the chosen metric? (depends on sq1)
sq3. What is the worst performance metric in the table to determine the worst performing player? (independent)
sq4. Which player has the worst performance according to the chosen metric? (depends on sq3)

**Answers:**

Answer to sq1: ERA (Earned Run Average) is a good performance metric to determine the best performing player, as a lower ERA indicates better performance.

Answer to sq2: Bill Dinneen has the best performance with an ERA of 2.92.

Answer to sq3: ERA is also a good performance metric to determine the worst performing player, as a higher ERA indicates worse performance.

Answer to sq4: Joe Harris has the worst performance with an ERA of 3.52.

**Final Answer:**
The best performing player in the 1906 Boston Americans season is Bill Dinneen, and the worst performing player is Joe Harris.","In the 1906 Boston Americans season, Jesse Tannehill was the only member of the starting rotation with a winning record, at 13–11, while Bill Dinneen had the rotation's lowest ERA, at 2.92."
3,totto_source/dev_json/example-903.json,"What was the eighth highest grossing Turkish film, and how much did it make?","Here's the decomposition of the question into subquestions and the answers:

Decomposition:

sq1. Identify the row that contains the information about the 8th highest grossing Turkish film. (independent)
sq2. Extract the title and gross of the film from the relevant row. (depends on sq1)
sq3. Combine the extracted title and gross into a final answer. (depends on sq2)

Answers:

Answer to sq1: The relevant row is:
8 | Kolpaçino | Özen Film | $2,499,501

Answer to sq2: Title: Kolpaçino, Gross: $2,499,501

Answer to sq3: The eighth highest grossing Turkish film was Kolpaçino, which made $2,499,501.

Final Answer: Kolpaçino, $2,499,501.","Kolpaçino was the eighth highest grossing Turkish film of 2009 with a total gross of US$2,499,501."
4,totto_source/dev_json/example-2215.json,"How was ""Edge of the Ocean"" released in 2001 in both the US and the UK?","Here is the decomposition and answer:

Decomposition:

sq1. Identify the rows that contain information about the release of ""Edge of the Ocean"" in 2001 in the US.
sq2. Extract the formats and labels from the relevant rows in sq1.
sq3. Identify the rows that contain information about the release of ""Edge of the Ocean"" in 2001 in the UK.
sq4. Extract the formats and labels from the relevant rows in sq3.
sq5. Combine the extracted formats and labels for both the US and UK releases.

Answers:

Answer to sq1: The relevant rows are:
United States | July 10, 2001 | 10"" single, Ltd | Nettwerk America
United States | July 10, 2001 | EP | Nettwerk America
United States | July 10, 2001 | Adult alternative radio | Nettwerk America

Answer to sq2: The formats and labels are: 10"" single, Ltd, EP, Adult alternative radio, all on Nettwerk America.

Answer to sq3: The relevant row is:
United Kingdom | July 10, 2001 | 12"" promo single | Nettwerk

Answer to sq4: The format and label are: 12"" promo single on Nettwerk.

Answer to sq5: In 2001, ""Edge of the Ocean"" was released in the US as a 10"" single, Ltd, EP, and Adult alternative radio on Nettwerk America, and in the UK as a 12"" promo single on Nettwerk.

Final answer: In 2001, ""Edge of the Ocean"" was released in the US as a 10"" single, Ltd, EP, and Adult alternative radio on Nettwerk America, and in the UK as a 12"" promo single on Nettwerk.","""Edge of the Ocean"" was released on July 10, 2001 in the United States as a 10"" single, an EP, and Adult alternative radio, while in the United Kingdom a 12"" promo single was liberated."
0,totto_source/train_json/example-2837.json,What were the first two movies Crewes appeared in?,"Let's break down the question into subquestions and answer each one step by step.

**Decomposition:**

sq1. What are the movies mentioned in the table that Martin Crewes appeared in? (independent)
sq2. Identify the first two movies in the list of movies mentioned in sq1. (depends on sq1)

**Answers:**

Answer to sq1: The movies mentioned in the table are:
  - Resident Evil (2002)
  - DOA: Dead or Alive (2006)
  - Patrick (2013)

Answer to sq2: The first two movies in the list are:
  - Resident Evil (2002)
  - DOA: Dead or Alive (2006)

**Final Answer:**
The first two movies Martin Crewes appeared in are Resident Evil and DOA: Dead or Alive.",Crewes appeared in DOA: Dead or Alive and as Chad Kaplan in the 2002 film Resident Evil.
1,totto_source/train_json/example-1281.json,What awards were the Adults nominated for in 2012?,"Here is the decomposition and answer:

**Decomposition:**

* sq1: Identify the rows that contain information about the Adults' nominations in 2012.
* sq2: Extract the award names from the relevant rows.
* sq3: Combine the extracted award names into a final answer.

**Answers:**

* Answer to sq1: The relevant rows are:
  - 2012 | APRA Silver Scroll | Long list | ""Anniversary Day"" Julia Deans and Jon Toogood | Nominated
  - 2012 | New Zealand Music Awards | Album of the Year | The Adults | Nominated
* Answer to sq2: APRA Silver Scroll, New Zealand Music Awards
* Answer to sq3: The Adults were nominated for APRA Silver Scroll and New Zealand Music Awards in 2012.

**Final Answer:** APRA Silver Scroll, New Zealand Music Awards","The Adults has been nominated for Album of the Year at the 2012 New Zealand Music Awards, and the ""Anniversary Day"" was nominated to be on the long list for the 2012 APRA Silver Scroll award."
2,totto_source/dev_json/example-422.json,What and when was Workin' Overtime nomianted?,"Here's the decomposition and answer:

**Decomposition:**

sq1. What is the title of the work that was nominated for an award in 2002? (independent)
sq2. What award was Workin' Overtime nominated for in 2002? (independent)

**Answers:**

Answer to sq1: Workin' Overtime
Answer to sq2: ARIA Award for Best Country Album

**Final Answer:** 
Workin' Overtime was nominated for the ARIA Award for Best Country Album in 2002.",Workin' Overtime was nominated for ARIA Award for Best Country Album at the 2002 ARIA Awards.
3,totto_source/dev_json/example-1770.json,What was Pam Borton's best year as head coach?,"Here is the decomposition of the question into subquestions and the answers:

**Decomposition:**

1. What are the seasons where Pam Borton had the best overall record as head coach? (independent)
2. What are the corresponding winning percentages for those seasons? (depends on sq1)
3. Which season has the highest winning percentage? (depends on sq2)
4. What was Pam Borton's best year as head coach? (final answer)

**Answers:**

**Answer to sq1:**
The seasons with the best overall records are:
- 2003-04: 25-9
- 2004-05: 26-8
- 2002-03: 25-6

**Answer to sq2:**
The corresponding winning percentages are:
- 2003-04: .735
- 2004-05: .765
- 2002-03: .806

**Answer to sq3:**
The season with the highest winning percentage is 2002-03 with .806.

**Final Answer:**
Pam Borton's best year as head coach was 2002-03 with a record of 25-6 and a winning percentage of .806.",In the 2011-2012 season Minnesota was WBI champion in the postseason with Pam Borton as head coach.
4,totto_source/dev_json/example-1999.json,When did Masakazu Koda first joined the Japan Football League and which club did he play for?,"Here is the decomposition and answer:

**Decomposition:**

* sq1: Identify the row that contains information about Masakazu Koda's first appearance in the Japan Football League.
* sq2: Extract the season and club from the relevant row.

**Answers:**

* Answer to sq1: The relevant row is 1995 | Vissel Kobe | Football League | 28 | 1 | 3 | 0 | - | - | 31 | 1
* Answer to sq2: Masakazu Koda first joined the Japan Football League in 1995 and played for Vissel Kobe.

**Final Answer:**
Masakazu Koda first joined the Japan Football League in 1995 and played for Vissel Kobe.","In 1995, Masakazu Koda moved to Japan Football League club Vissel Kobe."
