,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,totto_source/dev_json/example-2205.json,What TV shows was Shagun Sharma seen in 2019?,"```json
{
 ""decomposition"": {
  ""sq1"": ""Identify the rows that contain information about Shagun Sharma's TV shows in 2019.""
 },
 ""answers"": {
  ""sq1"": ""The relevant rows are:\n2019 | Laal Ishq | Pernia | &TV\n2019 | Vikram Betaal Ki Rahasya Gatha | Rukmani/Kashi | &TV\n2019 | Shaadi Ke Siyape | Dua | &TV""
 },
 ""final_answer"": ""Laal Ishq, Vikram Betaal Ki Rahasya Gatha, Shaadi Ke Siyape""
}
```","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.","Laal Ishq, Vikram Betaal Ki Rahasya Gatha, Shaadi Ke Siyape 
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","laal ishq, vikram betaal ki rahasya gatha, shaadi ke siyape",57.14285714285715,0.0
1,1,1,totto_source/train_json/example-7854.json,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"```json
{
 ""decomposition"": {
  ""sq1"": ""Identify the row that contains information about the number of seats won in the 1975 North Vietnamese legislative election."",
  ""sq2"": ""Extract the number of seats from the identified row.""
 },
 ""answers"": {
  ""sq1"": ""The relevant row is the one for the Vietnamese Fatherland Front."",
  ""sq2"": ""424 seats""
 },
 ""final_answer"": ""424 seats""
}
```","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.","424 seats 
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats",424 seats,26.66666666666667,0.0
2,2,2,totto_source/dev_json/example-560.json,What roles did Christian Cooke play in 2009?,"```json
{
 ""decomposition"": {
  ""sq1"": ""What roles did Christian Cooke play in 2009? (independent)""
 },
 ""answers"": {
  ""Answer to sq1"": ""Christian Cooke played the roles of Luke Rutherford-Van Helsing in Demons and Lord Dorian Gaudain in Trinity in 2009.""
 },
 ""final_answer"": ""Luke Rutherford-Van Helsing in Demons and Lord Dorian Gaudain in Trinity.""
}
```","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.","Luke Rutherford-Van Helsing, Lord Dorian Gaudain 
","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity","luke rutherford-van helsing, lord dorian gaudain",34.78260869565218,0.0
3,3,3,totto_source/train_json/example-13717.json,When and in which club and league did Kazunari Okayama start his career?,"  decomposition: |
    sq1. Identify the row that corresponds to Kazunari Okayama's first season. (independent)
    sq2. Extract the year, club, and league from the identified row. (depends on sq1)
  answers: |
    Answer to sq1: The row corresponding to Kazunari Okayama's first season is the one with season 1997.
    Answer to sq2: Year - 1997, Club - Yokohama Marinos, League - J1 League
  final_answer: 1997, Yokohama Marinos, J1 League. 
",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,"1997, Yokohama Marinos, J1 League 
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,"1997, yokohama marinos, j1 league",52.63157894736842,0.0
4,4,4,totto_source/dev_json/example-430.json,Who set the fastest average in Megaminx?,"  decomposition: |
    sq1: What is the name of the person with the fastest average? (independent)
  answers: |
    Answer to sq1: Yu Da-Hyun
  final_answer: Yu Da-Hyun 
",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,"Yu Da-Hyun 
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun,22.22222222222222,0.0
5,5,5,totto_source/train_json/example-13152.json,What seasons did Faye appear for Hull City?,"```json
{
 ""decomposition"": {
  ""sq1"": ""Identify rows containing information about Faye's time at Hull City. (independent)""
 },
 ""answers"": {
  ""sq1"": ""The rows for Hull City are:\nHull City | 2012–13 | Championship | 31 | 4 | 0 | 0 | 2 | 0 | — | — | 33 | 4\nHull City | 2013–14 | Premier League | 3 | 0 | 3 | 0 | 1 | 0 | — | — | 7 | 0""
 },
 ""final_answer"": ""2012–13 and 2013–14""
}
```",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,"2012–13, 2013–14 
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"2012-13, 2013-2014",16.666666666666668,0.0
6,6,6,totto_source/dev_json/example-1811.json,Who's the winner of the championship and who is in the second place?,"```json
  decomposition: |
    sq1. What is the first place in the table? (independent)
    sq2. What is the second place in the table? (independent)
  answers: |
    Answer to sq1: Walter Hagen
    Answer to sq2: Jim Barnes, George Duncan, and J.H. Taylor
  final_answer: Walter Hagen, Jim Barnes, George Duncan, and J.H. Taylor
```","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.","Walter Hagen, Jim Barnes, George Duncan, and J.H. Taylor 
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","walter hagen, jim barnes, george duncan, and j.h. taylor",69.23076923076924,0.0
7,7,7,totto_source/train_json/example-7363.json,What significant career achievement did Yu make in 2011?,"```json
  decomposition: |
    sq1. Identify the row in the table that represents the year 2011. (independent)
    sq2. Extract the award and category from the row. (depends on sq1)
  answers: |
    Answer to sq1: The row representing 2011 is:
      2011 | Palace | Grand Ceremony of Movie & TV New Forces | Most Popular Screenwriter | Won | -
      2011 | Palace | 16th Asian Television Awards | Best Screenwriter | Won | -
      2011 | Palace | Youku Film and Television Award | Screenwriter Award | Won | -
    Answer to sq2:  Yu Zheng won the Most Popular Screenwriter award at the Grand Ceremony of Movie & TV New Forces, the Best Screenwriter award at the Asian Television Awards, and the Screenwriter Award at the Youku Film and Television Award.
  final_answer: Yu Zheng won the Most Popular Screenwriter award at the Grand Ceremony of Movie & TV New Forces, the Best Screenwriter award at the Asian Television Awards, and the Screenwriter Award at the Youku Film and Television Award.
```","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.","Most Popular Screenwriter, Best Screenwriter, Screenwriter Award 
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards","most popular screenwriter, best screenwriter, screenwriter award",24.0,0.0
8,8,8,totto_source/dev_json/example-1833.json,How's Huang Yu-ting doing in the 2009 World Games?,"```json
{
 ""decomposition"": {
  ""sq1"": ""Identify the rows where Huang Yu-ting won medals."",
  ""sq2"": ""List the medals Huang Yu-ting won.""
 },
 ""answers"": {
  ""sq1"": ""Huang Yu-ting won medals in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint events."",
  ""sq2"": ""Huang Yu-ting won the gold medal in the Women's 300 m time trial and Women's 500 m sprint, and the gold medal in the Women's 1000 m sprint.""
 }
}
```","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.","Huang Yu-ting won 3 gold medals. 
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint",huang yu-ting won 3 gold medals,30.303030303030297,0.0
9,9,9,totto_source/train_json/example-13923.json,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","```json
{
 ""decomposition"": {
  ""sq1"": ""What year did Art Howe coach the Yale Bulldogs?"",
  ""sq2"": ""What was Art Howe's overall record with the Yale Bulldogs?""
 },
 ""answers"": {
  ""Answer to sq1"": ""1912"",
  ""Answer to sq2"": ""7–1–1""
 },
 ""final_answer"": ""1912, 7–1–1""
}
```",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,"1912, 7–1–1 
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,"1912, 7-1-1",22.22222222222222,0.0
