,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,totto_source/dev_json/example-2205.json,What TV shows was Shagun Sharma seen in 2019?,"Here is the answer:

Evidence:
The relevant rows contain information about Shagun Sharma's TV shows in 2019:
Year | Title | Role | Channel
2019 | Laal Ishq | Pernia | &TV
2019 | Vikram Betaal Ki Rahasya Gatha | Rukmani/Kashi | &TV
2019 | Shaadi Ke Siyape | Dua | &TV

Answer:
In 2019, Shagun Sharma was seen in the TV shows Laal Ishq, Vikram Betaal Ki Rahasya Gatha, and Shaadi Ke Siyape.","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.","Laal Ishq, Vikram Betaal Ki Rahasya Gatha, Shaadi Ke Siyape 
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","laal ishq, vikram betaal ki rahasya gatha, shaadi ke siyape",57.14285714285715,0.0
1,1,1,totto_source/train_json/example-7854.json,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"Here's the answer:

evidence: |
  The relevant row contains information about the seats won by the Vietnamese Fatherland Front:
  Party | Votes | % | Seats
  Vietnamese Fatherland Front | 10,561,314 | 100 | 424

answer: |
  In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won 424 seats.","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.","424 
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats",424,14.285714285714288,0.0
2,2,2,totto_source/dev_json/example-560.json,What roles did Christian Cooke play in 2009?,"Here is the answer with evidence:

Evidence:
The relevant rows contain information about Christian Cooke's roles in 2009:
Title | Year | Role | Notes
Demons | 2009 | Luke Rutherford-Van Helsing | Main role
Trinity | 2009 | Lord Dorian Gaudain | Main role

Answer:
In 2009, Christian Cooke played Luke Rutherford-Van Helsing in Demons and Lord Dorian Gaudain in Trinity.","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.","Luke Rutherford-Van Helsing, Lord Dorian Gaudain 
","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity","luke rutherford-van helsing, lord dorian gaudain",34.78260869565218,0.0
3,3,3,totto_source/train_json/example-13717.json,When and in which club and league did Kazunari Okayama start his career?,"Here is the answer:

evidence: |
  The relevant row contains information about Kazunari Okayama's first year in the table:
  Season | Club | League | League | League | Emperor's Cup | Emperor's Cup | J.League Cup | J.League Cup | Total | Total
  1997 | Yokohama Marinos | J1 League | 8 | 3 | 2 | 1 | 0 | 0 | 10 | 4

answer: |
  Kazunari Okayama started his career in 1997 with Yokohama Marinos in the J1 League.",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,"1997, Yokohama Marinos, J1 League 
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,"1997, yokohama marinos, j1 league",52.63157894736842,0.0
4,4,4,totto_source/dev_json/example-430.json,Who set the fastest average in Megaminx?,"Here is the answer:

**Evidence:**
The relevant row contains information about Yu Da-Hyun's achievement:
```
Name | Fastest average | Competition
Yu Da-Hyun (유다현) | 32.03s | CWR Winter 2018
```

**Answer:**
Yu Da-Hyun set the fastest average in Megaminx with an average of 32.03s at the CWR Winter 2018 competition.",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,"Yu Da-Hyun 
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun,22.22222222222222,0.0
5,5,5,totto_source/train_json/example-13152.json,What seasons did Faye appear for Hull City?,"Here is the answer with evidence:

Answer: Faye appeared for Hull City in the 2012-2013 and 2013-2014 seasons.

Evidence:
The relevant rows contain information about Faye's appearances for Hull City:
Club | Season | Division | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals
Hull City | 2012–13 | Championship | 31 | 4 | 0 | 0 | 2 | 0 | — | — | 33 | 4
Hull City | 2013–14 | Premier League | 3 | 0 | 3 | 0 | 1 | 0 | — | — | 7 | 0",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,"2012-2013, 2013-2014 
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"2012-2013, 2013-2014",0.0,0.0
6,6,6,totto_source/dev_json/example-1811.json,Who's the winner of the championship and who is in the second place?,"Here is the answer:

evidence: |
  The relevant row contains information about the winner and the second place:
  Place | Player | Country | Score
  1 | Walter Hagen | United States | 76-73=149
  T2 | Jim Barnes | England | 75-76=151
  T2 | George Duncan | Scotland | 76-75=151
  T2 | J.H. Taylor | England | 73-78=151

answer: |
  The winner of the championship is Walter Hagen, and Jim Barnes, George Duncan, and J.H. Taylor are in the second place.","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.","Walter Hagen, Jim Barnes, George Duncan, J.H. Taylor 
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","walter hagen, jim barnes, george duncan, j.h. taylor",63.99999999999999,0.0
7,7,7,totto_source/train_json/example-7363.json,What significant career achievement did Yu make in 2011?,"Here is the answer:

evidence: |
  The relevant rows contain information about Yu Zheng's achievements in 2011:
  Year | Work | Award | Category | Result | Notes
  2011 | Palace | Grand Ceremony of Movie & TV New Forces | Most Popular Screenwriter | Won | -
  2011 | Palace | 16th Asian Television Awards | Best Screenwriter | Won | -
  2011 | Palace | Youku Film and Television Award | Screenwriter Award | Won | -

answer: |
  In 2011, Yu Zheng won three awards for Best Screenwriter and Most Popular Screenwriter for the work ""Palace"".","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.","Won three awards for Best Screenwriter 
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards",won 3 awards for best screenwriter,33.33333333333333,0.0
8,8,8,totto_source/dev_json/example-1833.json,How's Huang Yu-ting doing in the 2009 World Games?,"Here is the answer with evidence:

Evidence:
The relevant rows contain information about Huang Yu-ting's achievements in the 2009 World Games:
Event | Gold | Silver | Bronze
Women's 300 m time trial | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Lim Jin-seon, South Korea
Women's 500 m sprint | Huang Yu-ting, Chinese Taipei | Lim Jin-seon, South Korea | Jercy Puello, Colombia
Women's 1000 m sprint | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Nicole Begg, New Zealand

Answer:
In the 2009 World Games, Huang Yu-ting won three gold medals in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint events.","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.","Three gold medals 
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint",3,7.142857142857142,0.0
9,9,9,totto_source/train_json/example-13923.json,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","Here is the answer to the question:

**Evidence:**
The relevant row contains information about Art Howe's coaching record with the Yale Bulldogs:
```
Year | Team | Overall | Conference | Standing | Bowl/playoffs
1912 | Yale | 7–1–1 | - | - | -
Yale: | Yale: | 7–1–1 | - | - | -
```
**Answer:**
Art Howe coached the Yale Bulldogs in 1912, and his overall record with the team was 7-1-1.",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,"1912, 7-1-1 
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,"1912, 7-1-1",22.22222222222222,0.0
10,10,10,totto_source/train_json/example-9029.json,What shows did Marisol Nichols appear in during 1996?,"Evidence:
The relevant rows contain information about Marisol Nichols' appearances in 1996:
Year | Title | Role | Notes
1996 | My Guys | Angela | TV Pilot
1996 | Due South | Melissa | Episode: ""Some Like It Red""
1996 | Beverly Hills, 90210 | Wendy Stevens | Episode: ""Ray of Hope""

Answer:
In 1996, Marisol Nichols appeared in ""My Guys"", ""Due South"", and ""Beverly Hills, 90210"".","In 1996, Marisol Nichols appeared in My Guys, Due South, and Beverly Hills, 90210.","""My Guys"", ""Due South"", ""Beverly Hills, 90210"" 
","in 1996, marisol nichols appeared in my guys, due south, and beverly hills, 90210","my guys, due south, beverly hills, 90210",66.66666666666666,0.0
11,11,11,totto_source/train_json/example-2363.json,How did the last two finishers perform in the Women's 800 metre freestyle?,"Here is the answer:

Evidence:
The relevant rows contain information about the last two finishers:
Rank | Lane | Name | Nationality | Time | Notes
7 | 2 | Lotte Friis | Denmark | 8:24.50 | -
8 | 1 | Sarah Köhler | Germany | 8:27.75 | -

Answer:
The last two finishers in the Women's 800 metre freestyle were Lotte Friis of Denmark with a time of 8:24.50 and Sarah Köhler of Germany with a time of 8:27.75.",Denmark's Lotte Friis recorded a time of 8:24.50 and Germany's Sarah Köhler recorded a time of 8:27.75 at the Olympics.,"Lotte Friis, Sarah Köhler 
",denmark's lotte friis recorded a time of 8:24.50 and germany's sarah köhler recorded a time of 8:27.75 at the olympics,"lotte friis, sarah köhler",38.095238095238095,0.0
12,12,12,totto_source/train_json/example-13458.json,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,"Here is the answer:

evidence: |
  The relevant row contains information about the Unionist Candidate's performance:
  Party | Party | Candidate | Votes | % | ±
  - | Irish Unionist | Robert McCalmont | 15,206 | 94.6 | N/A

answer: |
  In the 1910s, the Unionist Candidate, Robert McCalmont, won the East Antrim election with 15,206 votes, securing 94.6% of the total votes.","The Unionist candidate had a victory by 15,206 votes to Sinn Féin's 861 votes.","Robert McCalmont won with 94.6% of the votes. 
","the unionist candidate had a victory by 15,206 votes to sinn féin's 861 votes",robert mccalmont won with 94.6% of the votes,10.526315789473685,0.0
