,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,totto_source/dev_json/example-2205.json,What TV shows was Shagun Sharma seen in 2019?,"evidence: |
  The relevant rows contain information about Shagun Sharma's work in 2019:
  Year | Title | Role | Channel
  2019 | Laal Ishq | Pernia | &TV
  2019 | Vikram Betaal Ki Rahasya Gatha | Rukmani/Kashi | &TV
  2019 | Shaadi Ke Siyape | Dua | &TV
answer: |
  In 2019, Shagun Sharma appeared in Laal Ishq, Vikram Betaal Ki Rahasya Gatha, and Shaadi Ke Siyape. 
","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.","'Laal Ishq', 'Vikram Betaal Ki Rahasya Gatha', 'Shaadi Ke Siyape' 
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","laal ishq', 'vikram betaal ki rahasya gatha', 'shaadi ke siyape",57.14285714285715,0.0
1,1,1,totto_source/train_json/example-7854.json,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"evidence: |
  The relevant row contains information about the Vietnamese Fatherland Front's seats in the 1975 North Vietnamese legislative election:
  Party | Votes | % | Seats
  Vietnamese Fatherland Front | 10,561,314 | 100 | 424
answer: |
  The Vietnamese Fatherland Front won all 424 seats in the 1975 North Vietnamese legislative election. 
","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.","424 seats 
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats",424 seats,26.66666666666667,0.0
2,2,2,totto_source/dev_json/example-560.json,What roles did Christian Cooke play in 2009?,"evidence: |
    The relevant rows contain information about Christian Cooke's roles in 2009:
    Title | Year | Role | Notes
    Demons | 2009 | Luke Rutherford-Van Helsing | Main role
    Trinity | 2009 | Lord Dorian Gaudain | Main role
answer: |
    In 2009, Christian Cooke played Luke Rutherford-Van Helsing in Demons and Lord Dorian Gaudain in Trinity. 
","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.","Luke Rutherford-Van Helsing, Lord Dorian Gaudain 
","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity","luke rutherford-van helsing, lord dorian gaudain",34.78260869565218,0.0
3,3,3,totto_source/train_json/example-13717.json,When and in which club and league did Kazunari Okayama start his career?,"evidence: |
    The relevant row contains information about Kazunari Okayama's first season:
    Season | Club | League | League | League | Emperor's Cup | Emperor's Cup | J.League Cup | J.League Cup | Total | Total
    Season | Club | Division | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals
    1997 | Yokohama Marinos | J1 League | 8 | 3 | 2 | 1 | 0 | 0 | 10 | 4
  answer: |
    Kazunari Okayama started his career in 1997, playing for Yokohama Marinos in the J1 League. 
",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,"1997, Yokohama Marinos, J1 League 
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,"1997, yokohama marinos, j1 league",52.63157894736842,0.0
4,4,4,totto_source/dev_json/example-430.json,Who set the fastest average in Megaminx?,"evidence: |
  The relevant row contains information about Yu Da-Hyun's fastest average:
  Name | Fastest average | Competition
  Yu Da-Hyun (유다현) | 32.03s | CWR Winter 2018
answer: |
  Yu Da-Hyun (유다현) set the fastest average in Megaminx at 32.03s. 
",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,"Yu Da-Hyun (유다현) 
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun (유다현),31.57894736842105,0.0
5,5,5,totto_source/train_json/example-13152.json,What seasons did Faye appear for Hull City?,"evidence: |
  The relevant rows contain information about Abdoulaye Faye's time at Hull City:
  Club | Season | League | League | League | FA Cup | FA Cup | League Cup | League Cup | Europe | Europe | Total | Total
  Club | Season | Division | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals | Apps | Goals
  Hull City | 2012–13 | Championship | 31 | 4 | 0 | 0 | 2 | 0 | — | — | 33 | 4
  Hull City | 2013–14 | Premier League | 3 | 0 | 3 | 0 | 1 | 0 | — | — | 7 | 0
  Hull City | Total | Total | 34 | 4 | 3 | 0 | 3 | 0 | 0 | 0 | 40 | 4
answer: |
  Abdoulaye Faye appeared for Hull City in the 2012–13 and 2013–14 seasons. 
",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,"2012–13, 2013–14 
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"2012-13, 2013-2014",16.666666666666668,0.0
6,6,6,totto_source/dev_json/example-1811.json,Who's the winner of the championship and who is in the second place?,"evidence: |
  The relevant rows contain information about the players' scores in the second round:
  Place | Player | Country | Score
  1 | Walter Hagen | United States | 76-73=149
  T2 | Jim Barnes | England | 75-76=151
  T2 | George Duncan | Scotland | 76-75=151
  T2 | J.H. Taylor | England | 73-78=151
  T5 | Percy Alliss | England | 75-78=153
  T5 | Jean Gassiat | France | 75-78=153
  T5 | Jock Hutchison | Scotland United States | 79-74=153
  T5 | Tom Walton | England | 75-78=153
  T9 | Charles Johns | England | 78-76=154
  T9 | Roger Wethered (a) | England | 76-78=154
answer: |
  The winner of the championship is Walter Hagen. The players in second place are Jim Barnes, George Duncan, and J.H. Taylor. 
","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.","Walter Hagen, Jim Barnes, George Duncan, J.H. Taylor 
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","walter hagen, jim barnes, george duncan, j.h. taylor",63.99999999999999,0.0
7,7,7,totto_source/train_json/example-7363.json,What significant career achievement did Yu make in 2011?,"evidence: |
    The relevant rows contain information about Yu Zheng's awards in 2011:
    Year | Work | Award | Category | Result | Notes
    2011 | Palace | Grand Ceremony of Movie & TV New Forces | Most Popular Screenwriter | Won | -
    2011 | Palace | 16th Asian Television Awards | Best Screenwriter | Won | -
    2011 | Palace | Youku Film and Television Award | Screenwriter Award | Won | -
answer: |
    In 2011, Yu Zheng won three awards for his work on ""Palace"": the Most Popular Screenwriter Award at the Grand Ceremony of Movie & TV New Forces, the Best Screenwriter Award at the 16th Asian Television Awards, and the Screenwriter Award at the Youku Film and Television Award.","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.","Most Popular Screenwriter, Best Screenwriter, Screenwriter Award 
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards","most popular screenwriter, best screenwriter, screenwriter award",24.0,0.0
8,8,8,totto_source/dev_json/example-1833.json,How's Huang Yu-ting doing in the 2009 World Games?,"evidence: |
    The relevant rows contain information about Huang Yu-ting's achievements:
    Event | Gold | Silver | Bronze
    Women's 300 m time trial | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Lim Jin-seon, South Korea
    Women's 500 m sprint | Huang Yu-ting, Chinese Taipei | Lim Jin-seon, South Korea | Jercy Puello, Colombia
    Women's 1000 m sprint | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Nicole Begg, New Zealand
  answer: |
    Huang Yu-ting won gold in the 300 m time trial and the 500 m sprint, and gold in the 1000 m sprint. 
","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.","Gold in 3 events 
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint",gold in 3 events,19.354838709677416,0.0
9,9,9,totto_source/train_json/example-13923.json,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","evidence: |
  The relevant rows contain information about Art Howe's coaching record with the Yale Bulldogs:
  Year | Team | Overall | Conference | Standing | Bowl/playoffs
  Yale Bulldogs (Independent) (1912) | Yale Bulldogs (Independent) (1912) | Yale Bulldogs (Independent) (1912) | Yale Bulldogs (Independent) (1912) | Yale Bulldogs (Independent) (1912) | Yale Bulldogs (Independent) (1912)
  1912 | Yale | 7–1–1 | - | - | -
  Yale: | Yale: | 7–1–1 | - | - | -
answer: |
  Art Howe coached the Yale Bulldogs in 1912, and his overall record with the team was 7–1–1. 
",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,"1912, 7–1–1 
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,"1912, 7-1-1",22.22222222222222,0.0
