,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,What TV shows was Shagun Sharma seen in 2019?,"Decompose to subquestions-  
sq1. What titles did Shagun Sharma appear in during 2019? (independent)  
sq2. What roles did Shagun Sharma play in those titles from 2019? (depends on sq1)  

answers:  
Answer to sq1: The titles are Laal Ishq, Vikram Betaal Ki Rahasya Gatha, and Shaadi Ke Siyape.  
Answer to sq2: The roles are Pernia in Laal Ishq, Rukmani/Kashi in Vikram Betaal Ki Rahasya Gatha, and Dua in Shaadi Ke Siyape.  

final_answer: Laal Ishq (Pernia), Vikram Betaal Ki Rahasya Gatha (Rukmani/Kashi), Shaadi Ke Siyape (Dua).","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.","Laal Ishq, Vikram Betaal Ki Rahasya Gatha, Shaadi Ke Siyape 
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","laal ishq, vikram betaal ki rahasya gatha, shaadi ke siyape",57.14285714285715,0.0
1,1,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"Decompose to subquestions-  
sq1. What party received the votes in the 1975 North Vietnamese legislative election? (independent)  
sq2. How many total seats were awarded in the election? (independent)  
sq3. What was the percentage of votes obtained by the Vietnamese Fatherland Front? (independent)  

answers:  
Answer to sq1: Vietnamese Fatherland Front received 10,561,314 votes.  
Answer to sq2: A total of 424 seats were awarded.  
Answer to sq3: Vietnamese Fatherland Front obtained 100% of the votes.  

final_answer: Vietnamese Fatherland Front received 424 seats, 100%.","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.","424 seats, 100% 
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats","424 seats, 100%",25.0,0.0
2,2,What roles did Christian Cooke play in 2009?,"Decompose to subquestions-  
sq1. What titles did Christian Cooke appear in during 2009? (independent)  
sq2. What roles did he play in the titles from sq1? (depends on sq1)  

Answers-  
Answer to sq1: Christian Cooke appeared in ""Demons"" and ""Trinity"" in 2009.  
Answer to sq2: He played Luke Rutherford-Van Helsing in ""Demons"" and Lord Dorian Gaudain in ""Trinity"".  

Final answer: Luke Rutherford-Van Helsing in ""Demons"", Lord Dorian Gaudain in ""Trinity"".","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.","Luke Rutherford-Van Helsing, Lord Dorian Gaudain 
","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity","luke rutherford-van helsing, lord dorian gaudain",34.78260869565218,0.0
3,3,When and in which club and league did Kazunari Okayama start his career?,"Decompose to subquestions:
- sq1. What is the first season listed in Kazunari Okayama's career statistics? (independent)
- sq2. What club did Kazunari Okayama play for in that first season? (depends on sq1)
- sq3. What league was that club in during the first season? (depends on sq1)

Answers:
- Answer to sq1: The first season listed is 1997.
- Answer to sq2: Kazunari Okayama played for Yokohama Marinos in that season.
- Answer to sq3: Yokohama Marinos was in the J1 League during the first season.

Final answer: 1997, Yokohama Marinos, J1 League.",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,"1997, Yokohama Marinos, J1 League 
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,"1997, yokohama marinos, j1 league",52.63157894736842,0.0
4,4,Who set the fastest average in Megaminx?,"Decompose to subquestions-  
sq1. Who is the solver with the fastest average? (independent)  
sq2. What is the fastest average time? (depends on sq1)  
sq3. In which competition was this fastest average set? (depends on sq1)  

answers:  
Answer to sq1: Yu Da-Hyun (유다현) set the fastest average.  
Answer to sq2: The fastest average time is 32.03s.  
Answer to sq3: The fastest average was set at CWR Winter 2018.  

final_answer: Yu Da-Hyun (유다현), 32.03s, CWR Winter 2018.",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,"Yu Da-Hyun (유다현) 
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun (유다현),31.57894736842105,0.0
5,5,What seasons did Faye appear for Hull City?,"Decompose to subquestions-

sq1. What rows contain information about Faye's appearances for Hull City? (independent)  
sq2. What seasons are listed for Hull City in the relevant rows? (depends on sq1)  

answers: |  
Answer to sq1: The relevant rows are:  
2012–13 | Hull City | Championship | 31 | 4 | 0 | 0 | 2 | 0 | 33 | 4  
2013–14 | Hull City | Premier League | 3 | 0 | 3 | 0 | 1 | 0 | 7 | 0  

Answer to sq2: The seasons listed for Hull City are 2012–13 and 2013–14.  

final_answer: 2012–13 and 2013–14.",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,"2012–13, 2013–14 
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"2012-13, 2013-2014",16.666666666666668,0.0
6,6,Who's the winner of the championship and who is in the second place?,"Decompose to subquestions-  
sq1. Who is the winner of the championship? (independent)  
sq2. Who is in the second place? (independent)  

answers:  
Answer to sq1: Walter Hagen.  
Answer to sq2: Jim Barnes, George Duncan, and J.H. Taylor (T2).  

final_answer: Walter Hagen, Jim Barnes, George Duncan, J.H. Taylor.","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.","Walter Hagen, Jim Barnes, George Duncan, J.H. Taylor 
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","walter hagen, jim barnes, george duncan, j.h. taylor",63.99999999999999,0.0
7,7,What significant career achievement did Yu make in 2011?,"Decompose to subquestions-
- sq1. What awards did Yu Zheng win in 2011? (independent)
- sq2. What work was associated with each of those awards? (depends on sq1)
- sq3. Combine the information from sq1 and sq2 to describe the significant career achievement in 2011. (depends on sq1, sq2)

answers: |
  Answer to sq1: In 2011, Yu Zheng won the following awards:
    - Most Popular Screenwriter at the Grand Ceremony of Movie & TV New Forces
    - Best Screenwriter at the 16th Asian Television Awards
    - Screenwriter Award at the Youku Film and Television Award
  Answer to sq2: The associated work for all those awards was ""Palace.""
  Answer to sq3: In 2011, Yu Zheng significantly achieved recognition as the Most Popular Screenwriter for his work in ""Palace,"" winning three major awards that year.

final_answer: In 2011, Yu Zheng won three significant awards for his work in ""Palace,"" including Most Popular Screenwriter.","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.","Most Popular Screenwriter for ""Palace"" 
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards",most popular screenwriter for palace,26.08695652173913,0.0
8,8,How's Huang Yu-ting doing in the 2009 World Games?,"Decompose to subquestions-  
sq1. What events did Huang Yu-ting compete in at the 2009 World Games? (independent)  
sq2. What medals did Huang Yu-ting win in those events? (depends on sq1)  

answers:  
Answer to sq1: Huang Yu-ting competed in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint.  
Answer to sq2: Huang Yu-ting won Gold in all three events.  

final_answer: Huang Yu-ting won Gold in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint at the 2009 World Games.","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.","Gold in all three events 
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint",gold in all 3 events,18.750000000000004,0.0
9,9,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","Decompose to subquestions- 
sq1. In what year did Art Howe coach the Yale Bulldogs? (independent)  
sq2. What was Art Howe's overall record with the Yale Bulldogs? (depends on sq1)  

answers:
Answer to sq1: Art Howe coached the Yale Bulldogs in 1912.  
Answer to sq2: Art Howe's overall record with the Yale Bulldogs was 7–1–1.  

final_answer: 1912, 7–1–1.",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,"1912, 7–1–1 
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,"1912, 7-1-1",22.22222222222222,0.0
