,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,question,response,answer,extracted_code,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,0,0,What TV shows was Shagun Sharma seen in 2019?,"```python
# Define the table including the header
table = [
  [""Year"", ""Title"", ""Role"", ""Channel""],
  [2015, ""Kuch Toh Hai Tere Mere Darmiyaan"", ""Sanjana Kapoor"", ""Star Plus""],
  [2016, ""Kuch Rang Pyar Ke Aise Bhi"", ""Khushi"", ""Sony TV""],
  [2016, ""Gangaa"", ""Aashi Jhaa"", ""&TV""],
  [2017, ""Iss Pyaar Ko Kya Naam Doon 3"", ""Meghna Narayan Vashishth"", ""Star Plus""],
  [2017-18, ""Tu Aashiqui"", ""Richa Dhanrajgir"", ""Colors TV""],
  [2019, ""Laal Ishq"", ""Pernia"", ""&TV""],
  [2019, ""Vikram Betaal Ki Rahasya Gatha"", ""Rukmani/Kashi"", ""&TV""],
  [2019, ""Shaadi Ke Siyape"", ""Dua"", ""&TV""]
]

# Find the TV shows Shagun Sharma was seen in 2019
tv_shows_2019 = [row[1] for row in table[1:] if row[0] == 2019]

# Save the result in the ans variable
ans = tv_shows_2019

# Print the ans
print(ans)
# Done
```","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.",2.0,"['Laal Ishq', 'Vikram Betaal Ki Rahasya Gatha', 'Shaadi Ke Siyape']
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","['laal ishq', 'vikram betaal ki rahasya gatha', 'shaadi ke siyape']",57.14285714285715,0.0
1,1,1,1,1,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"```python
# Define the table including the header
table = [
  [""Party"", ""Votes"", ""%"", ""Seats""],
  [""Vietnamese Fatherland Front"", 10561314, 100, 424],
  [""Invalid/blank votes"", 105807, ""-"", ""-""],
  [""Total"", 10667121, 100, 424]
]

# Extract the voting results with regards to seats
voting_results_seats = [row[3] for row in table[1:]]

# Save the result in the ans variable
ans = voting_results_seats

# Print the ans
print(ans)
```","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.",2.0,"[424, '-', 424]
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats","[424, '-', 424]",13.333333333333336,0.0
2,2,2,2,2,What roles did Christian Cooke play in 2009?,"```python
# Define the table including the header
table = [
  [""Title"", ""Year"", ""Role"", ""Notes""],
  [""Wilmot"", 1999, ""Wilmot Tanner"", ""Main role""],
  [""Where the Heart Is"", ""2000–06"", ""Luke Kirkwall"", ""68 episodes""],
  [""Casualty"", 2002, ""Mark Booth"", '""Only The Lonely""'],
  [""Barking!"", 2004, ""Ryan"", '""The Big Sausage""'],
  [""Doctors"", 2006, ""Gary"", '""Positively Blooming""'],
  [""Casualty"", 2006, ""Jude Becket"", '""Sons & Lovers""'],
  [""Inspector George Gently"", 2007, ""Billy Lister"", '""Gently Go Man""'],
  [""The Chase"", 2007, ""Liam Higgins"", ""9 episodes""],
  [""The Royal"", 2007, ""Bobby Horrocks"", '""Starting Over""'],
  [""Robin Hood"", 2007, ""Luke Scarlett"", '""The Angel of Death""'],
  [""Echo Beach"", 2008, ""Brae Marrack"", ""Main role""],
  [""Moving Wallpaper"", 2008, ""Himself"", ""3 episodes""],
  [""Moving Wallpaper: The Mole"", 2008, ""Himself"", ""Webisode; Episode 1.4""],
  [""Doctor Who"", 2008, ""Ross Jenkins"", '""The Sontaran Stratagem"", ""The Poison Sky""'],
  [""Demons"", 2009, ""Luke Rutherford-Van Helsing"", ""Main role""],
  [""Trinity"", 2009, ""Lord Dorian Gaudain"", ""Main role""],
  [""Dark Relic"", 2010, ""Paul"", ""Television film""],
  [""The Promise"", 2011, ""Sergeant Leonard Matthews"", ""Miniseries""],
  [""Magic City"", ""2012–13"", ""Danny Evans"", ""Main role""],
  [""Witches of East End"", 2014, ""Frederick Beauchamp"", ""Main role; Season 2""],
  [""Stonemouth"", 2015, ""Stewart Gilmour"", ""Main role""],
  [""The Art of More"", ""2015–16"", ""Graham Connor"", ""Main role""],
  [""Ordeal by Innocence"", 2018, ""Mickey Argyll"", ""BBC Television film (Replacing Ed Westwick)""]
]

# Find the roles Christian Cooke played in 2009
roles_2009 = [row[2] for row in table if row[1] == 2009]

# Save the result in the ans variable
ans = roles_2009

# Print the ans
print(ans)
# Done
```","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.",2.0,"['Luke Rutherford-Van Helsing', 'Lord Dorian Gaudain']
","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity","['luke rutherford-van helsing', 'lord dorian gaudain']",34.78260869565218,0.0
3,3,3,3,3,When and in which club and league did Kazunari Okayama start his career?,"```python
# Define the table including the header
table = [
  [""Season"", ""Club"", ""League"", ""League"", ""League"", ""Emperor's Cup"", ""Emperor's Cup"", 
   ""J.League Cup"", ""J.League Cup"", ""Total"", ""Total""],
  [""Season"", ""Club"", ""Division"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals""],
  [1997, ""Yokohama Marinos"", ""J1 League"", 8, 3, 2, 1, 0, 0, 10, 4],
  [1998, ""Yokohama Marinos"", ""J1 League"", 5, 0, 0, 0, 4, 2, 9, 2],
  [1999, ""Yokohama F. Marinos"", ""J1 League"", 4, 0, 0, 0, 0, 0, 4, 0],
  [1999, ""Omiya Ardija"", ""J2 League"", 6, 1, 2, 2, 0, 0, 8, 3],
  [2000, ""Yokohama F. Marinos"", ""J1 League"", 13, 0, 1, 0, 1, 0, 15, 0],
  [2001, ""Cerezo Osaka"", ""J1 League"", 28, 3, 4, 0, 2, 0, 34, 3],
  [2002, ""Kawasaki Frontale"", ""J2 League"", 37, 1, 5, 1, ""-"", ""-"", 42, 2],
  [2003, ""Kawasaki Frontale"", ""J2 League"", 34, 2, 1, 0, ""-"", ""-"", 35, 2],
  [2004, ""Kawasaki Frontale"", ""J2 League"", 2, 0, 0, 0,""-"", ""-"", 2, 0],
  [2005, ""Avispa Fukuoka"", ""J2 League"", 34, 0, 1, 0, ""-"", ""-"", 35, 0],
  [2006, ""Kashiwa Reysol"", ""J2 League"", 45, 10, 0, 0, ""-"", ""-"", 45, 10],
  [2007, ""Kashiwa Reysol"", ""J1 League"", 1, 0, 0, 0, 3, 0, 4, 0],
  [2007, ""Vegalta Sendai"", ""J2 League"", 18, 2, 0, 0, ""-"", ""-"", 18, 2],
  [2008, ""Vegalta Sendai"", ""J2 League"", 33, 4, 0, 0, ""-"", ""-"", 33, 4],
  [2011, ""Consadole Sapporo"", ""J2 League"", 5, 0, 1, 0, ""-"", ""-"", 6, 0],
  [2012, ""Consadole Sapporo"", ""J1 League"", 5, 0, 1, 0, 2, 0, 8, 0],
  [2013, ""Nara Club"", ""Regional Leagues"", 3, 0, 2, 1, ""-"", ""-"", 5, 1],
  [2014, ""Nara Club"", ""Regional Leagues"", 8, 0, 2, 1, ""-"", ""-"", 10, 1],
  [2015, ""Nara Club"", ""Football League"", 15, 0, 0, 0, ""-"", ""-"", 15, 0],
  [2016, ""Nara Club"", ""Football League"", 5, 0, 1, 0, ""-"", ""-"", 6, 0],
  [2017, ""Nara Club"", ""Football League"", 13, 1, 1, 0, ""-"", ""-"", 14, 1],
  [""Total"", ""Total"", ""Total"", 322, 27, 24, 6, 12, 2, 358, 35]
]

# Find when and where Kazunari Okayama started his career
start_career_info = table[2]

# Save the result in the ans variable
ans = start_career_info

# Print the ans
print(ans)
# Done
```",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,2.0,"[1997, 'Yokohama Marinos', 'J1 League', 8, 3, 2, 1, 0, 0, 10, 4]
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,"[1997, 'yokohama marinos', 'j1 league', 8, 3, 2, 1, 0, 0, 10, 4]",37.03703703703704,0.0
4,4,4,4,4,Who set the fastest average in Megaminx?,"```python
# Define the table including the header
table = [
  [""Name"", ""Fastest average"", ""Competition""],
  [""Yu Da-Hyun (유다현)"", ""32.03s"", ""CWR Winter 2018""],
  [""Juan Pablo Huanqui"", ""32.33s"", ""CubingUSA Nationals 2018""],
  [""Amos Nordman"", ""34.63s"", ""Pikkujoulut 2018""],
  [""Nicolas Naing"", ""35.02s"", ""New Hope Open Spring 2018""],
  [""Feliks Zemdegs"", ""36.65s"", ""Weston-super-Mare Open 2018""]
]

# Find the row with the fastest average
fastest_average = min(table[1:], key=lambda x: float(x[1].replace('s', '')))

# Save the result in the ans variable
ans = fastest_average[0]

# Print the ans
print(ans)
# Done
```",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,2.0,"Yu Da-Hyun (유다현)
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun (유다현),31.57894736842105,0.0
5,5,5,5,5,What seasons did Faye appear for Hull City?,"```python
# Define the table including the header
table = [
  [""Club"", ""Season"", ""League"", ""League"", ""League"", ""FA Cup"", ""FA Cup"", ""League Cup"", ""League Cup"", ""Europe"", ""Europe"", ""Total"", ""Total""],
  [""Club"", ""Season"", ""Division"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals"", ""Apps"", ""Goals""],
  [""ASEC Ndiambour"", ""1999–2000"", ""Senegal Premier League"", ""-"", ""-"", ""-"", ""-"", ""—"", ""—"", ""-"", ""-"", ""-"", ""-""],
  [""ASEC Ndiambour"", ""2000–01"", ""Senegal Premier League"", ""-"", ""-"", ""-"", ""-"", ""—"", ""—"", ""-"", ""-"", ""-"", ""-""],
  [""ASEC Ndiambour"", ""Total"", ""Total"", 59, 8, ""-"", ""-"", ""—"", ""—"", 59, 8, ""-"", ""-""],
  [""Jeanne d'Arc"", ""2001–02"", ""Senegal Premier League"", 32, 4, ""-"", ""-"", ""—"", ""—"", 32, 4, ""-"", ""-""],
  [""Jeanne d'Arc"", ""Total"", ""Total"", 32, 4, ""-"", ""-"", ""—"", ""—"", 32, 4, ""-"", ""-""],
  [""RC Lens"", ""2002–03"", ""Ligue 1"", 17, 0, 1, 0, 0, 0, 6, 0, 24, 0],
  [""RC Lens"", ""2003–04"", ""Ligue 1"", 18, 0, 1, 0, 0, 0, 0, 0, 19, 0],
  [""RC Lens"", ""Total"", ""Total"", 35, 0, 2, 0, 0, 0, 6, 0, 43, 0],
  [""Istres (loan)"", ""2004–05"", ""Ligue 1"", 28, 0, 0, 0, 0, 0, ""—"", ""—"", 28, 0],
  [""Istres (loan)"", ""Total"", ""Total"", 28, 0, 0, 0, 0, 0, 0, 0, 28, 0],
  [""Bolton Wanderers"", ""2005–06"", ""Premier League"", 27, 1, 1, 0, 2, 0, 7, 0, 37, 1],
  [""Bolton Wanderers"", ""2006–07"", ""Premier League"", 32, 2, 2, 0, 0, 0, ""—"", ""—"", 34, 2],
  [""Bolton Wanderers"", ""2007–08"", ""Premier League"", 1, 0, 0, 0, 0, 0, ""—"", ""—"", 1, 0],
  [""Bolton Wanderers"", ""Total"", ""Total"", 60, 3, 3, 0, 2, 0, 7, 0, 72, 3],
  [""Newcastle United"", ""2007–08"", ""Premier League"", 22, 1, 1, 0, 1, 0, ""—"", ""—"", 24, 1],
  [""Newcastle United"", ""Total"", ""Total"", 22, 1, 1, 0, 1, 0, 0, 0, 24, 1],
  [""Stoke City"", ""2008–09"", ""Premier League"", 36, 3, 0, 0, 0, 0, ""—"", ""—"", 36, 3],
  [""Stoke City"", ""2009–10"", ""Premier League"", 31, 2, 1, 0, 0, 0, ""—"", ""—"", 32, 2],
  [""Stoke City"", ""2010–11"", ""Premier League"", 14, 1, 2, 0, 0, 0, ""—"", ""—"", 16, 1],
  [""Stoke City"", ""Total"", ""Total"", 81, 6, 3, 0, 0, 0, 0, 0, 84, 6],
  [""West Ham United"", ""2011–12"", ""Championship"", 29, 0, 0, 0, 0, 0, ""—"", ""—"", 29, 0],
  [""West Ham United"", ""Total"", ""Total"", 29, 0, 0, 0, 0, 0, 0, 0, 29, 0],
  [""Hull City"", ""2012–13"", ""Championship"", 31, 4, 0, 0, 2, 0, ""—"", ""—"", 33, 4],
  [""Hull City"", ""2013–14"", ""Premier League"", 3, 0, 3, 0, 1, 0, ""—"", ""—"", 7, 0],
  [""Hull City"", ""Total"", ""Total"", 34, 4, 3, 0, 3, 0, 0, 0, 40, 4],
  [""Career total"", ""Career total"", ""Career total"", 380, 26, 12, 0, 6, 0, 13, 0, 411, 26]
]

# Filter the seasons Faye appeared for Hull City
hull_city_seasons = [row[1] for row in table if row[0] == ""Hull City""]

# Save the result in the ans variable
ans = hull_city_seasons

# Print the ans
print(ans)
```",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,2.0,"['2012–13', '2013–14', 'Total']
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"['2012-13', '2013-14', 'total']",30.769230769230766,0.0
6,6,6,6,6,Who's the winner of the championship and who is in the second place?,"```python
# Define the table including the header
table = [
  [""Place"", ""Player"", ""Country"", ""Score""],
  [1, ""Walter Hagen"", ""United States"", ""76-73=149""],
  [""T2"", ""Jim Barnes"", ""England"", ""75-76=151""],
  [""T2"", ""George Duncan"", ""Scotland"", ""76-75=151""],
  [""T2"", ""J.H. Taylor"", ""England"", ""73-78=151""],
  [""T5"", ""Percy Alliss"", ""England"", ""75-78=153""],
  [""T5"", ""Jean Gassiat"", ""France"", ""75-78=153""],
  [""T5"", ""Jock Hutchison"", ""Scotland United States"", ""79-74=153""],
  [""T5"", ""Tom Walton"", ""England"", ""75-78=153""],
  [""T9"", ""Charles Johns"", ""England"", ""78-76=154""],
  [""T9"", ""Roger Wethered (a)"", ""England"", ""76-78=154""]
]

# Find the winner and second place
winner = table[1][1]
second_place = table[2][1]

# Save the results in the ans variable
ans = (winner, second_place)

# Print the ans
print(ans)
# Done
```","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.",2.0,"('Walter Hagen', 'Jim Barnes')
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","('walter hagen', 'jim barnes')",38.095238095238095,0.0
7,7,7,7,7,What significant career achievement did Yu make in 2011?,"```python
# Define the table including the header
table = [
  [""Year"", ""Work"", ""Award"", ""Category"", ""Result"", ""Notes""],
  [2008, ""The Last Princess"", ""Annual Golden TVS Award"", ""Best Screenwriter"", ""Won"", ""-""],
  [2009, ""-"", ""Shanghai Modern Award"", ""Screenwriter Award"", ""Won"", ""-""],
  [2011, ""Palace"", ""Grand Ceremony of Movie & TV New Forces"", ""Most Popular Screenwriter"", ""Won"", ""-""],
  [2011, ""Palace"", ""16th Asian Television Awards"", ""Best Screenwriter"", ""Won"", ""-""],
  [2011, ""Palace"", ""Youku Film and Television Award"", ""Screenwriter Award"", ""Won"", ""-""],
  [2012, ""Palace II"", ""2012 Qiyi Festival"", ""TV Producer of the Year"", ""Won"", ""-""],
  [2014, ""Swordsman"", ""Chinese American Film Festival"", ""Best Screenwriter"", ""Won"", ""-""]
]

# Find the significant career achievement Yu made in 2011
significant_achievement = [row[3] for row in table[1:] if row[0] == 2011]

# Save the result in the ans variable
ans = significant_achievement

# Print the ans
print(ans)
```","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.",2.0,"['Most Popular Screenwriter', 'Best Screenwriter', 'Screenwriter Award']
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards","['most popular screenwriter', 'best screenwriter', 'screenwriter award']",24.0,0.0
8,8,8,8,8,How's Huang Yu-ting doing in the 2009 World Games?,"```python
# Define the table including the header
table = [
  [""Event"", ""Gold"", ""Silver"", ""Bronze""],
  [""Men's 300 m time trial"", ""Lo Wei-lin, Chinese Taipei"", ""Andrés Felipe Muñoz, Colombia"", ""Pedro Causil, Colombia""],
  [""Men's 500 m sprint"", ""Andrés Felipe Muñoz, Colombia"", ""Lo Wei-lin, Chinese Taipei"", ""Lee Myung-kyu, South Korea""],
  [""Men's 1000 m sprint"", ""Pedro Causil, Colombia"", ""Alexis Contin, France"", ""Claudio Naselli, Italy""],
  [""Men's 10000 m points elimination"", ""Yann Guyader, France"", ""Nelson Garzón, Colombia"", ""Daniel Álvarez, Venezuela""],
  [""Men's 15000 m elimination"", ""Jorge Luis Cifuentes, Colombia"", ""Yann Guyader, France"", ""Andrés Felipe Muñoz, Colombia""],
  [""Women's 300 m time trial"", ""Huang Yu-ting, Chinese Taipei"", ""Hsu Chiao-jen, Chinese Taipei"", ""Lim Jin-seon, South Korea""],
  [""Women's 500 m sprint"", ""Huang Yu-ting, Chinese Taipei"", ""Lim Jin-seon, South Korea"", ""Jercy Puello, Colombia""],
  [""Women's 1000 m sprint"", ""Huang Yu-ting, Chinese Taipei"", ""Hsu Chiao-jen, Chinese Taipei"", ""Nicole Begg, New Zealand""],
  [""Women's 10000 m points elimination"", ""Woo Hyo-sook, South Korea"", ""Marta Ramírez, Colombia"", ""Nicole Begg, New Zealand""],
  [""Women's 15000 m elimination"", ""Woo Hyo-sook, South Korea"", ""Marta Ramírez, Colombia"", ""Pan Yi-chin, Chinese Taipei""]
]

# Check the performance of Huang Yu-ting in the 2009 World Games
huang_performance = [row[1:] for row in table if ""Huang Yu-ting"" in row]

# Save the result in the ans variable
ans = huang_performance

# Print the ans
print(ans)
```","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.",2.0,"[]
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint",[],0.0,0.0
9,9,9,9,9,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","```python
# Define the table including the header
table = [
  [""Year"", ""Team"", ""Overall"", ""Conference"", ""Standing"", ""Bowl/playoffs""],
  [""1912"", ""Yale"", ""7–1–1"", ""-"", ""-"", ""-""],
  [""Trinity Bantams (Independent) (1918)"", ""Trinity Bantams (Independent) (1918)"", ""Trinity Bantams (Independent) (1918)"", ""Trinity Bantams (Independent) (1918)"", ""Trinity Bantams (Independent) (1918)"", ""Trinity Bantams (Independent) (1918)""],
  [""1918"", ""Trinity"", ""0–1–1"", ""-"", ""-"", ""-""],
  [""Total:"", ""Total:"", ""7–2–2"", ""-"", ""-"", ""-""]
]

# Find when Art Howe coached the Yale Bulldogs and his overall record
art_howe_yale_coach = [row[0] for row in table if ""Yale"" in row[1]][0]
art_howe_yale_record = [row[2] for row in table if ""Yale"" in row[1]][0]

# Save the result in the ans variable
ans = (art_howe_yale_coach, art_howe_yale_record)

# Print the ans
print(ans)
```",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,2.0,"('1912', '7–1–1')
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,"('1912', '7-1-1')",22.22222222222222,0.0
