,Unnamed: 0.1,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,0,Phoenix_Coyotes_0,Arizona Coyotes player number 19 played in how many NHL seasons ?,"```python
# 1. Find the player with number 19 (independent, support=[Context: No | Player | Position | Career | Date honored
# 7 | Keith Tkachuk | C | 1992-2001 | December 23 , 2011
# 9 | Bobby Hull | LW | 1972-1980 | February 19 , 1989
# 10 | Dale Hawerchuk | C | 1981-1990 | April 5 , 2007
# 19 | Shane Doan | RW | 1996-2017 | February 24 , 2019
# 25 | Thomas Steen | RW | 1981-1995 | May 6 , 1995
# 27 | Teppo Numminen | D | 1988-2003 | January 30 , 2010
# 97 | Jeremy Roenick | C | 1996-2001 2006-2007 | February 9 , 2012
# 99 | Wayne Gretzky | C | - | October 8 , 2005])
player_19 = ""Shane Doan""
# 2. Extract the career information from the More context (independent, support=[""Shane Doan"": ""Shane Albert Doan ( born October 10 , 1976 ) is a Canadian former professional ice hockey forward who spent the entirety of his National Hockey League ( NHL ) career with the Winnipeg Jets/Arizona Coyotes franchise , playing 21 seasons . He was the last remaining player active in the NHL from the original Winnipeg Jets franchise . Doan retired from the NHL in the summer of 2017 . Doan led the club in scoring from 2003 to 2011 consecutively . In December 2015 , Doan became the franchise 's all-time leading goal scorer . He was also the longest serving NHL captain until his retirement , serving as the Coyotes ' captain from 2003 to 2017 . Doan never won the Stanley Cup , coming closest with the Phoenix Coyotes in 2012 , where they lost the Western Conference Final to the Los Angeles Kings . Internationally , Doan has won two gold medals and three silvers at the World Championships , as well as one World Cup championship in 2004 . He was also a member of Canada 's 2006 Winter Olympic team . On August 1 , 2018 , it was announced the Coyotes would retire his jersey number 19 on February 24 , 2019 , before a game against the current Winnipeg Jets .""])
career_info = ""Shane Albert Doan ( born October 10 , 1976 ) is a Canadian former professional ice hockey forward who spent the entirety of his National Hockey League ( NHL ) career with the Winnipeg Jets/Arizona Coyotes franchise , playing 21 seasons . He was the last remaining player active in the NHL from the original Winnipeg Jets franchise . Doan retired from the NHL in the summer of 2017 . Doan led the club in scoring from 2003 to 2011 consecutively . In December 2015 , Doan became the franchise 's all-time leading goal scorer . He was also the longest serving NHL captain until his retirement , serving as the Coyotes ' captain from 2003 to 2017 . Doan never won the Stanley Cup , coming closest with the Phoenix Coyotes in 2012 , where they lost the Western Conference Final to the Los Angeles Kings . Internationally , Doan has won two gold medals and three silvers at the World Championships , as well as one World Cup championship in 2004 . He was also a member of Canada 's 2006 Winter Olympic team . On August 1 , 2018 , it was announced the Coyotes would retire his jersey number 19 on February 24 , 2019 , before a game against the current Winnipeg Jets .""
# 3. Extract the number of seasons from the career info (depends on 2, support=[])
seasons = int(career_info.split(""playing"")[1].split(""seasons"")[0].strip())
# 4. Print the answer (depends on 3, support=[])
print(seasons)
#DONE
```",21,"21
",21.0,21.0,100.0,100.0
1,1,1,1,List_of_Washington_Redskins_players_12,What was the post-secondary school attended by Charley Malone titled at its founding ?,"```python
# 1. Find the row corresponding to Charley Malone in the table. (independent, support=[# | Name | Pos | College | GP | Seasons])
for row in context.splitlines()[1:]:
    row_data = row.split('|')
    if row_data[1].strip() == 'Charley Malone':
        charley_malone_row = row_data
        break

# 2. What is the college Charley Malone attended? (independent, support=[# | Name | Pos | College | GP | Seasons])
charley_malone_college = charley_malone_row[3].strip()

# 3. What was the title of the college Charley Malone attended at its founding? (depends on 2, support=[Texas A&M University: ""Texas A & M University ( Texas A & M or A & M ) is a public research university founded in 1876 and located in College Station , Texas .""])
ans = more_context[charley_malone_college].split('founded in')[0].split('(')[-1].strip()
print(ans)
#DONE
```",Agricultural and Mechanical College of Texas,ERROR,agricultural and mechanical college of texas,error,0.0,0.0
2,2,2,2,List_of_Methodist_churches_in_the_United_States_7,"What is the name of the church whose city , state 's population was 2,048 in 2010 ?","```python
# 1. What is the city, state of each church in the table? (independent, support=[Church | Dates | Location | City , State | Description])
city_state_dict = {}
for row in context.splitlines()[1:]: # skip the header row
    church, dates, location, city_state, description = row.split('|')
    city_state = city_state.strip()
    city_state_dict[church] = city_state

# 2. What are the cities, states with population of 2,048 in 2010? (independent, support=[More context])
population_2048_cities = []
for key, value in more_context.items():
    if '2,048 at the 2010 census' in value:
        population_2048_cities.append(key)

# 3. What is the name of the church whose city, state's population was 2,048 in 2010? (depends on 1 and 2, support=[])
for church, city_state in city_state_dict.items():
    if city_state in population_2048_cities:
        ans = church
        print(ans)
        #DONE
```",Trinity Methodist Episcopal Church,ERROR,trinity methodist episcopal church,error,0.0,0.0
3,3,3,3,American_Horse_of_the_Year_0,What was the middle name of the trainer of the 2017 American Horse of the Year ?,"```python
# 1. Who was the 2017 American Horse of the Year? (independent, support=[2017 | Gun Runner | Steve Asmussen | Winchell Thoroughbreds LLC & Three Chimneys Farm | 4 | C])
horse_2017 = ""Gun Runner""
# 2. Who trained the 2017 American Horse of the Year? (depends on 1, support=[Gun Runner (horse): ""Gun Runner ( foaled March 8 , 2013 ) is a retired American Thoroughbred racehorse who was the 2017 American Horse of the Year after winning four Grade I races at age four . He retired with earnings of nearly $ 16 million . As a three-year-old , he became one of the early favorites for the 2016 Kentucky Derby after winning both the Risen Star Stakes and Louisiana Derby . Following a third-place finish in the Kentucky Derby , he won the Matt Winn Stakes and Clark Handicap , and was second in the Breeders ' Cup Dirt Mile and Pennsylvania Derby . As a four-year-old in 2017 , he finished second in the Dubai World Cup , then went on to win the Stephen Foster Handicap , Whitney Stakes , Woodward Stakes , and Breeders ' Cup Classic . His performance in the Whitney earned him a rating of 127 in the August 2017 update of the World 's Best Racehorse Rankings , ranking him in third place worldwide . His Woodward win earned him a Timeform US rating of 142 , the highest ever achieved . Prior to retiring to stud as a five-year-old , he also won the 2018 Pegasus World Cup ."",])
trainer_2017 = ""Steve Asmussen""
# 3. What is the middle name of the trainer of the 2017 American Horse of the Year? (depends on 2, support=[Steve Asmussen: ""Steven Mark Asmussen ( born November 18 , 1965 ) is an American Thoroughbred racehorse trainer . He is a two-time winner of the Eclipse Award for Outstanding Trainer and was inducted into the National Museum of Racing and Hall of Fame in 2016 . His horses have won the Breeders ' Cup Classic , Preakness Stakes , Belmont Stakes , Breeders ' Cup Distaff , Kentucky Oaks and Dubai World Cup .""])
middle_name = ""Mark""
print(middle_name)
#DONE
```",Mark,"Mark
",mark,mark,100.0,100.0
4,4,4,4,Roger_Crozier_Saving_Grace_Award_1,How many Vezina Trophies did the most recent winner get ?,"```python
# 1. Who is the most recent Vezina Trophy winner? (independent, support=[Dominik Hašek ( Czech pronunciation : [ ˈdomɪnaːk ˈɦaːʃɛk ] , audio ( help·info ) ; born January 29 , 1965 ) is a Czech former ice hockey goaltender . In his 16-season National Hockey League ( NHL ) career , he played for the Chicago Blackhawks , Buffalo Sabres , Detroit Red Wings and the Ottawa Senators . During his years in Buffalo , he became one of the league 's finest goaltenders , earning him the nickname The Dominator . His strong play has been credited with establishing European goaltenders in a league previously dominated by North Americans . He is a two-time Stanley Cup champion , both with the Red Wings . Hašek was one of the league 's most successful goaltenders of the 1990s and early 2000s . From 1993 to 2001 , he won six Vezina Trophies , the most under the award 's current system of voting for the best individual goalie . In 1998 he won his second consecutive Hart Memorial Trophy , becoming the first goaltender to win the award multiple times . During the 1998 Winter Olympics in Nagano , Japan , he led the Czech national ice hockey team to its first and only Olympic gold medal . The feat made him a popular figure in his home country and prompted hockey legend Wayne Gretzky to call him the best player in the game . While with the Red Wings in 2002 , Hašek became the first European-trained starting goaltender to win the Stanley Cup . In the process , he set a record for shutouts in a postseason year .])
most_recent_winner = ""Dominik Hašek""
# 2. How many Vezina Trophies did Dominik Hašek get? (independent, support=[Dominik Hašek ( Czech pronunciation : [ ˈdomɪnaːk ˈɦaːʃɛk ] , audio ( help·info ) ; born January 29 , 1965 ) is a Czech former ice hockey goaltender . In his 16-season National Hockey League ( NHL ) career , he played for the Chicago Blackhawks , Buffalo Sabres , Detroit Red Wings and the Ottawa Senators . During his years in Buffalo , he became one of the league 's finest goaltenders , earning him the nickname The Dominator . His strong play has been credited with establishing European goaltenders in a league previously dominated by North Americans . He is a two-time Stanley Cup champion , both with the Red Wings . Hašek was one of the league 's most successful goaltenders of the 1990s and early 2000s . From 1993 to 2001 , he won six Vezina Trophies , the most under the award 's current system of voting for the best individual goalie . In 1998 he won his second consecutive Hart Memorial Trophy , becoming the first goaltender to win the award multiple times . During the 1998 Winter Olympics in Nagano , Japan , he led the Czech national ice hockey team to its first and only Olympic gold medal . The feat made him a popular figure in his home country and prompted hockey legend Wayne Gretzky to call him the best player in the game . While with the Red Wings in 2002 , Hašek became the first European-trained starting goaltender to win the Stanley Cup . In the process , he set a record for shutouts in a postseason year .])
trophy_count = 6
# 3. How many Vezina Trophies did the most recent winner get ? (depends on 1 and 2, support=[])
ans = trophy_count
print(ans)
#DONE
```",six,"6
",6.0,6.0,100.0,100.0
5,5,5,5,ICOM_Simulations_0,When was the remastered version of the first Sherlock Holmes game released ?,"```python
# 1. What is the name of the first Sherlock Holmes game? (independent, support=[Sherlock Holmes : Consulting Detective | 1991 | ICOM Simulations | ICOM Simulations | PC])
game_name = ""Sherlock Holmes : Consulting Detective""
# 2. When was the remastered version of the first Sherlock Holmes game released? (independent, support=[Sherlock Holmes : Consulting Detective is a full motion video game based on a tabletop game-gamebook hybrid which had the same name . It was originally developed by ICOM Simulations for the FM Towns computer and later ported to DOS , Apple Macintosh , Commodore CDTV , TurboGrafx-CD , Sega CD and Tandy Video Information System with all versions being distributed on CD-ROM . The game was re-released as a DVD for use with a standard DVD player and television in 1999 . A high resolution and re-mastered version of the game for iPad , Microsoft Windows , and OS X was released on September 18 , 2012 .])
remastered_date = ""September 18 , 2012""
# 3. Print the remastered date. (depends on 2, support=[])
print(remastered_date)
#DONE
```","September 18 , 2012","September 18 , 2012
","september 18 , 2012","september 18 , 2012",100.0,100.0
6,6,6,6,Marie_McDonald_0,Who were the main cast members of the 1942 film in which Marie McDonald played Ferna ?,"```python
# 1. Which films did Marie McDonald play in? (independent, support=[Year | Title | Role,1942 | Pardon My Sarong | Ferna,1943 | A Scream in the Dark | Joan Allen,1945 | Getting Gertie 's Garter | Gertie,1945 | It 's a Pleasure | Gale Fletcher,1947 | Living in a Big Way | Margo Morgan,1950 | Once a Thief | Flo,1950 | Hit Parade of 1951 | Michele])
films_with_marie_mc = [""Pardon My Sarong"",""A Scream in the Dark"",""Getting Gertie 's Garter"",""It 's a Pleasure"",""Living in a Big Way"",""Once a Thief"",""Hit Parade of 1951""]
# 2. Which film from the list was released in 1942? (depends on 1, support=[Year | Title | Role,1942 | Pardon My Sarong | Ferna,1942 | You 're Telling Me | Girl,1942 | Lucky Jordan | Pearl ( Secretary )])
film_1942 = ""Pardon My Sarong""
# 3. Who were the main cast members of Pardon My Sarong? (independent, support=[{""Pardon My Sarong"": ""Pardon My Sarong is a 1942 comedy film starring Abbott and Costello .""}])
cast_members = [""Abbott"",""Costello""]
# 4. Who were the main cast members of the 1942 film in which Marie McDonald played Ferna? (depends on 2 and 3, support=[])
print(cast_members)
#DONE
```",Abbott and Costello,"['Abbott', 'Costello']
",abbott and costello,"['abbott', 'costello']",80.0,0.0
7,7,7,7,Grammy_Award_for_Best_Traditional_Gospel_Album_0,The 2003 nominee is inducted into what instrumental organization ?,"```python
# 1. What is the nominee for the 2003 Grammy Awards? (independent, support=[Year | Performing artists | Work | Nominees, 2003 | The Blind Boys of Alabama | Higher Ground | Dorothy Norwood - Live At Home The Canton Spirituals - Walking By Faith Twinkie Clark - Live in Charlotte Various Artists - Bishop T.D . Jakes Presents Woman Thou Art Loosed - Worship 2002])
nominee_2003 = ""Twinkie Clark""
# 2. What is Twinkie Clark inducted into ? (independent, support=[Elbernita Twinkie Clark ( born November 15 , 1954 ) is an American gospel singer , songwriter , composer , musician , and evangelist . Clark is best known as a member the American gospel singing group The Clark Sisters . In addition to singing , Clark is member of the Hammond Organ Hall of Fame .])
ans = ""Hammond Organ Hall of Fame""
print(ans)
#DONE
```",Hammond Organ Hall of Fame,"Hammond Organ Hall of Fame
",haond organ hall of fame,haond organ hall of fame,100.0,100.0
8,8,8,8,Binaca_Geetmala_annual_list_1970_0,What is the film whose music director died on 4 January 1994 ?,"```python
# 1. Find the music directors who died on 4 January 1994 (independent, support=[R. D. Burman: ""Rahul Dev Burman ( 27 June 1939 - 4 January 1994 ) was an Indian music director . From the 1960s to the 1990s , Burman composed musical scores for 331 films . Burman did major work with Asha Bhosle ( his wife ) and Kishore Kumar and scored many of the songs that made these singers famous . He has also scored many songs sung by Lata Mangeshkar . Nicknamed Pancham , he was the only son of the composer Sachin Dev Burman . He was mainly active in the Hindi film industry as a composer , and also provided vocals for a few compositions . He served as an influence to the next generation of Indian music directors , and his songs continue to be popular in India and overseas .""])
music_director_died_on_4_jan_1994 = ""R. D. Burman""
# 2. Find the film whose music director is R. D. Burman (independent, support=[Context: Year | Song | Film | Music Director | Lyricist | Singer ( s )
# 1953 | Ye Zindagi Usi ki Hai | Anarkali ( film ) | C. Ramachandra | Rajinder Krishan | Lata Mangeshkar
# 1954 | Jayen To Jayen Kahan | Taxi Driver | S.D . Burman | Sahir Ludhianvi | Talat Mahmood
# 1955 | Mera Joota Hai Japani | Shri 420 | Shankar Jaikishan | Shailendra | Mukesh
# 1956 | Ae Dil Hai Mushkil Jeena Yaha | C.I.D | O. P. Nayyar | Majrooh Sultanpuri | Mohammed Rafi , Geeta Dutt
# 1957 | Zara Saamne Toh Aao Chhaliye | Janam Janam Ke Phere | S. N. Tripathi | Bharat Vyas | Mohammed Rafi , Lata Mangeshkar
# 1958 | Hai Apna Dil Toh Awara | Solva Saal | S. D. Burman | Majrooh Sultanpuri | Hemant Kumar
# 1959 | Haal Kaisa Hai Janaab Ka | Chalti Ka Naam Gaadi | S. D. Burman | Majrooh Sultanpuri | Kishore Kumar , Asha Bhosle
# 1960 | Zindagi Bhar Nai Bhoolegi Wo Barsaat Ki Raat | Barsaat Ki Raat | Roshan | Sahir Ludhianvi | Mohammed Rafi
# 1961 | Teri Pyaari Pyaari Surat Ko | Sasural | Shankar Jaikishan | Hasrat Jaipuri | Mohammed Rafi
# 1962 | Ehsaan Tera Hoga Mujh Par | Junglee | Shankar Jaikishan | Hasrat Jaipuri | Mohammed Rafi
# 1963 | Jo Wada Kiya Woh Nibhana | Taj Mahal | Roshan | Sahir Ludhianvi | Mohammed Rafi , Lata Mangeshkar
# 1964 | Mere Man ki Ganga aur tere man ki Jamuna ka | Sangam | Shankar Jaikishan | Shailendra | Mukesh , Vyjayanthimala
# 1965 | Jis dil mein basa tha pyaar tera | Saheli | Kalyanji Anandji | Indeevar | Mukesh
# 1966 | Baharon phool barsao mera mehboob aaya hai | Suraj | Shankar Jaikishan | Hasrat Jaipuri | Mohammed Rafi
# 1967 | Saawan ka mahina pawan kare sor | Milan | Laxmikant-Pyarelal | Anand Bakshi | Mukesh , Lata Mangeshkar
# 1968 | Dil wil pyar vyar main kya jaanu re | Shagird | Laxmikant-Pyarelal | Majrooh Sultanpuri | Lata Mangeshkar
# 1969 | Kaise rahoon chup ki meine pee hi kya hai | Inteqam | Laxmikant-Pyarelal | Rajendra Krishna | Lata Mangeshkar
# 1970 | Bindiya chamkegi choodi khankegi | Do Raaste | Laxmikant-Pyarelal | Anand Bakshi | Lata Mangeshkar
# 1971 | Zindagi ek safar hai suhana | Andaz | Shankar Jaikishan | Hasrat Jaipuri | Kishore Kumar , Asha Bhosle
# 1972 | Dum Maro Dum | Hare Raama Hare Krishna | R. D. Burman | Anand Bakshi | Asha Bhosle , Usha Iyer])
film_with_rd_burman = ""Hare Raama Hare Krishna""
# 3. What is the film whose music director died on 4 January 1994 ? (depends on 1 and 2, support=[])
print(film_with_rd_burman)
#DONE
```",Hare Raama Hare Krishna,"Hare Raama Hare Krishna
",hare raama hare krishna,hare raama hare krishna,100.0,100.0
9,9,9,9,List_of_Malaysian_football_transfers_2014_36,What position ( s ) moved to the club that was founded in 1963 and currently suspended from FIFA ?,"```python
# 1. What club was founded in 1963 and currently suspended from FIFA? (independent, support=[Perlis FA: Perlis Football Association ( Malay : Persatuan Bolasepak Perlis ) , also known as Perlis FA , is a football team based in Kangar , Perlis , Malaysia . The team was founded in 1963 and currently suspended from FIFA by playing in the second division of Malaysian football , the 2019 Malaysia Premier League . Year 2019 is the first ever Perlis did not enter any tournament in Malaysian League since 1963 .])
club_founded_1963 = ""Perlis FA""
# 2. What position(s) moved to this club? (independent, support=[Position | Player | To club | Fee, Goalkeeper | Mohd Solehin Rodzi | DRB-Hicom F.C | align=right| 0, Defender | Mohd Fitri Jamaluddin | Perlis FA | align=right| 0, Defender | Danial Fadzly Abdullah | Retired | align=right| 0, Midfielder | Hafiz Che Hassan | Free agent | align=right| 0, Midfielder | Khairul Anwar Idris | Released | align=right| 0, Midfielder | Azrul Abdul Rahim | Released | align=right| 0, Midfielder | A. Giri Ther | MISC-MIFA | align=right| 0, Midfielder | Mohd Hisyam Shofi | Free agent | align=right| 0, Midfielder | Mohd Syafuan Riduwan | Johor Darul Takzim II | align=right| 0, Forward | Mohd Aminuddin Azmi | UiTM | align=right| 0, Forward | Mohd Haslan Abu Hassan | Free agent | align=right| 0])
positions_moved_to_club = [""Defender""]
# 3. What position(s) moved to the club that was founded in 1963 and currently suspended from FIFA? (depends on 1 and 2, support=[])
print(positions_moved_to_club)
#DONE
```",Defender,"['Defender']
",defender,['defender'],100.0,100.0
